Country,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17,Res_Nonhydro_Capita_2021
Portugal,99.3815,64.1045,90.95476923076923,99.00333333333333,83.27275,84.13680000000001,95.02266666666667,82.15533333333333,75.41766666666666,69.697,88.422,63.0565,75.81966666666666,43.065,72.673,88.0677,62.67875000000001,1791.6497932554428
Poland,99.46549999999999,68.159875,85.26992307692308,98.29866666666668,72.17999999999999,84.91120000000001,89.26566666666668,84.40533333333335,71.76,75.4285,82.428,75.86933333333334,75.097,65.122,92.32000000000001,81.44820000000001,62.381,722.9967724005456
Belize,55.346000000000004,59.36257142857143,72.3393076923077,77.69433333333333,56.37825,75.8738,92.3135,58.4702,22.748,36.501007236918774,79.086,72.23299999999999,91.13166666666666,67.91760000000001,54.174400000000006,60.812125,71.505,367.50861000298346
Central African Republic,0.0,43.6455,16.02607142857143,9.207,30.88825,45.5114,12.8275,47.698,3.526,9.641,19.243000000000002,72.73766666666667,99.673,48.160238987946016,89.91380000000001,44.737,37.324333333333335,0.0
Turkey,99.624,65.068,82.92800000000001,96.27300000000001,46.329750000000004,75.12840000000001,89.161,59.060666666666656,60.301500000000004,38.105000000000004,73.9875,79.81083333333335,86.96766666666667,51.99816666666667,53.25940000000001,66.49644444444444,71.96325,619.3502320916667
Italy,98.06,71.018625,94.043,96.70833333333333,72.82900000000001,82.135,93.84733333333334,76.57200000000002,83.6045,71.545,82.34125,63.60966666666666,76.82000000000001,53.54116666666666,80.2214,78.98949999999999,62.952749999999995,1277.345554497626
Ireland,99.79500000000002,75.894875,93.23184615384616,99.73870833333332,76.39025000000001,87.28540000000001,93.42933333333333,87.32860000000001,82.01700000000001,86.423,88.75525,45.178999999999995,58.196333333333335,71.89516666666667,89.083,90.43433333333334,51.30775,2379.142641919925
Sri Lanka,91.54400000000001,62.129625,77.81457142857143,97.41366666666666,52.004250000000006,56.62700000000001,66.94766666666668,76.21950000000001,34.15916666666667,36.333,82.97066666666667,85.36016666666667,95.152,71.71650000000001,55.94660000000001,66.2264,49.135999999999996,26.407433765363926
Vietnam,95.14250000000001,71.03262500000001,72.46742857142857,97.10766666666666,72.20325,73.138,83.20033333333333,72.14916666666669,43.97566666666666,70.4995,80.11625000000001,91.89966666666668,93.97000000000001,49.19216666666667,46.68900000000001,65.96000000000001,59.68125,7.21669139862894
Mauritania,70.742,43.19457142857142,41.84015384615384,39.399,32.27375,58.3254,42.221500000000006,45.02616666666666,17.474833333333333,81.838,40.36025,89.01300000000002,95.74000000000001,65.95166666666667,76.10300000000001,52.6346,51.45066666666667,61.79438249766057
Malta,99.82849999999999,67.04412500000001,91.4813076923077,99.21833333333332,62.2455,75.549,95.29366666666665,86.30775,65.61983333333333,91.899,87.04,43.87033333333333,65.18266666666666,48.8225,81.56333333333333,76.046,50.6555,451.01062999284517
Finland,99.848,64.164625,94.76961538461539,98.16070833333333,91.37100000000001,94.44059999999999,96.48599999999999,88.27766666666668,94.05766666666666,96.812,91.23375,55.5985,59.983000000000004,84.64983333333333,84.61999999999999,94.6018,71.245,3696.2285979031626
Jordan,95.3335,59.558375000000005,75.67730769230769,71.63133333333333,42.96675,57.51520000000001,92.94299999999998,58.02733333333334,50.50133333333333,66.6885,74.95400000000001,87.37883333333333,89.354,78.98,55.326750000000004,76.60740000000001,58.881750000000004,226.02162430745977
Jamaica,83.3785,55.84625,79.97407142857143,82.61200000000001,78.205,73.9316,85.27566666666667,74.81683333333335,37.343833333333336,37.701,74.06025,77.95933333333333,88.94933333333334,56.774499999999996,51.45200000000001,66.6288,67.606,127.46426951750036
Comoros,49.67400000000001,45.81733333333333,53.26207142857144,51.88566666666667,38.5535,49.00875,42.705999999999996,49.73499999999999,15.9465,48.901,70.17166666666667,85.7405,99.561,35.957,43.37033333333333,60.208749999999995,61.7565,0.0
El Salvador,90.159,54.954875,78.27107142857143,79.705,68.5145,75.8056,87.63333333333333,63.32316666666667,20.198833333333333,50.641,84.5265,86.308,93.96966666666667,27.855999999999998,66.71900000000001,61.3626,64.801,333.94246763836315
Chad,20.73,32.21628571428572,21.536499999999997,14.464666666666666,26.8215,39.9696,2.039,55.779599999999995,8.218666666666666,35.493,26.78125,90.88866666666667,99.6815,48.160238987946016,71.691,34.695,46.35666666666666,0.6874400625475866
Bulgaria,97.507,66.34725,79.55300000000001,67.553,72.472,70.8148,91.04899999999999,78.13733333333333,52.55233333333334,48.272000000000006,79.30433333333333,74.50850000000001,79.682,60.42260000000001,90.65119999999999,73.96455555555556,72.06224999999999,715.6820864078222
"Venezuela, RB",13.244,43.225857142857144,65.28678571428573,82.24466666666667,66.278,78.1348,92.11200000000001,70.7628,32.31733333333334,21.608,47.579666666666675,81.5725,85.69200000000001,64.51166666666667,69.02700000000002,34.13377777777778,60.78199999999999,2.721089529319431
Haiti,30.3445,42.45614285714286,41.15107142857143,76.43816666666667,40.172250000000005,53.769000000000005,29.124666666666666,55.629,12.1715,46.632999999999996,36.463499999999996,92.47900000000001,99.11933333333333,73.907,48.33539999999999,47.658,47.12266666666667,0.08879589250305238
Uganda,23.664,64.42142857142858,47.92207142857143,60.499,60.57725,44.933800000000005,18.4545,62.19050000000001,28.480666666666668,39.458,43.7795,88.54899999999999,99.22933333333333,48.160238987946016,63.533,47.9806,47.100249999999996,13.502519410084659
